scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
SRPT_ORACLE,1064,374.0911654135338,0.0,384.94999999999936,53155.0,1.0294656701993334,1.0579509785552963,3067.7312030075186,0.976315554766882,0.6267240658369592,293,lanl,7,1024,1425,0,0.6313195529513889
PROACTIVE,1064,837.8392857142857,0.0,4391.799999999999,33729.0,4.108810820715791,11.627499999999987,3531.4793233082705,0.9157980772426859,0.6235197823408107,0,lanl,7,1024,1425,0,0.6313195529513889
PROACTIVE_EST,1064,855.6625939849624,0.0,4193.899999999999,63428.0,3.8822807442698615,9.191832075678008,3549.3026315789475,0.9260397090014764,0.6228121124980304,0,lanl,7,1024,1425,0,0.6313195529513889
FCFS,968,2099.311983471074,0.0,13609.999999999987,38844.0,6.610847206442807,24.44451219512195,5290.711776859504,0.8428332366105192,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
FIFO_STRICT,968,12131.620867768595,10256.5,30706.899999999998,38697.0,48.915833240007565,228.20863353093176,15323.020661157025,0.41838045745877156,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
SJF_ORACLE,968,1728.2954545454545,0.0,8579.349999999999,105376.0,3.540901161050916,14.503999999999996,4919.695247933884,0.9006886727129173,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
SJF_USEREST,968,2037.6332644628098,0.0,10430.849999999997,68507.0,5.615316948026475,16.734694955899684,5229.033057851239,0.8943644789837076,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
HRRN_USEREST,968,1926.7820247933885,0.0,11808.199999999993,40342.0,5.9044034976209065,24.488333333333333,5118.181818181818,0.8527812988627155,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
SMALLEST_FIRST,968,2857.0485537190084,0.0,22052.749999999964,56180.0,9.925987409958005,33.87916666666665,6048.448347107438,0.8833201614074174,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
EASY_USEREST,968,7581.2768595041325,3636.5,29346.1,39693.0,28.282054653563627,137.68566666666663,10772.676652892562,0.6278974155848924,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
EASY_ORACLE,968,3152.8677685950415,1007.0,14974.999999999993,26647.0,8.937851103422565,45.831770544783,6344.267561983471,0.6971026576154309,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
CONS_BF_USEREST,968,7906.0495867768595,6091.5,24939.549999999985,34419.0,29.69045104849518,151.4120149253731,11097.44938016529,0.5249367438995169,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
SRPT_ORACLE,968,721.0464876033058,0.0,3676.3999999999965,51042.0,1.0680644531554553,1.40509776891428,3912.4462809917354,0.9577203224951288,0.74913369746128,481,lanl,8,1024,1337,0,0.7511029730902777
PROACTIVE,968,2107.1456611570247,0.0,12613.0,40463.0,7.081607289796754,24.37075429087624,5298.545454545455,0.8594233678066108,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
PROACTIVE_EST,968,1913.969008264463,0.0,11620.3,46999.0,5.061433290103458,14.462043268407898,5105.368801652892,0.8885621025632146,0.7433604949719301,0,lanl,8,1024,1337,0,0.7511029730902777
FCFS,979,2229.1664964249235,0.0,13217.199999999992,47632.0,6.684209702095048,19.888333333333254,5089.178753830439,0.8676077249467021,0.7757279987273489,0,lanl,9,1024,1249,0,0.7802638527199074
FIFO_STRICT,979,9481.596527068437,9778.0,22282.7,30238.0,47.04418912782015,272.80166666666634,12341.608784473952,0.44420485579902597,0.7722508562771704,0,lanl,9,1024,1249,0,0.7802638527199074
