mean_wait,max_wait,p95_wait,mean_turnaround,mean_bounded_slowdown,throughput,fairness_gini,gpu_util,preemptions,pred_wait_mae,run,scheduler
7.245454545454545,55.0,40.099999999999994,19.90909090909091,1.6794469803736622,0.36666666666666664,0.7719060111782823,0.5840625,0,6.284076369570737,11,PROACTIVE
7.172727272727273,55.0,40.099999999999994,19.836363636363636,1.674005084417412,0.36666666666666664,0.7742942735338173,0.5840625,0,6.710280183686991,11,NN
8.718181818181819,34.0,26.549999999999997,21.381818181818183,1.8397086618075922,0.36666666666666664,0.5047587449047303,0.5840625,0,,11,BACKFILL
8.772727272727273,34.0,27.0,21.436363636363637,1.8173409144331603,0.36666666666666664,0.5490249646726331,0.5840625,0,,11,BACKFILL_EST
10.181818181818182,34.0,27.0,22.845454545454544,2.0192323558950354,0.36666666666666664,0.43420454545454545,0.5840625,0,,11,CONS_BF
8.572727272727272,34.0,28.549999999999997,21.236363636363638,1.8289233247754213,0.36666666666666664,0.5095632893087825,0.5840625,0,5.326964880035005,11,PROACTIVE_BF
7.6454545454545455,85.0,42.099999999999994,20.30909090909091,1.4423646117696918,0.36666666666666664,0.7810506972219219,0.6053125,51,,11,SRPT
23.618181818181817,59.0,52.099999999999994,36.13636363636363,3.3732481687871503,0.36666666666666664,0.43602071523549585,0.6528125,0,,12,FIFO
30.70909090909091,65.0,64.0,43.22727272727273,3.990527971848335,0.36666666666666664,0.3738791108240486,0.6528125,0,,12,FIFO_STRICT
15.3,162.0,79.74999999999999,27.818181818181817,1.9942242833549477,0.36666666666666664,0.7586074650245773,0.6528125,0,,12,SJF
17.327272727272728,170.0,97.09999999999994,29.845454545454544,2.4714370852120644,0.36666666666666664,0.7566440904321281,0.6528125,0,,12,SJF_EST
22.5,167.0,118.89999999999995,35.018181818181816,3.627669708953834,0.36666666666666664,0.7441946740128559,0.6528125,0,,12,PRIORITY
20.172727272727272,71.0,53.099999999999994,32.69090909090909,2.7378823667185617,0.36666666666666664,0.48988897537793435,0.6528125,0,,12,HRRN
22.509090909090908,150.0,121.1,35.027272727272724,3.639717850128418,0.36666666666666664,0.7793288294903804,0.6528125,0,,12,SMALLEST
22.254545454545454,134.0,120.64999999999999,34.77272727272727,3.5905282666874982,0.36666666666666664,0.7717691622103386,0.6528125,0,26.101353323226796,12,PROACTIVE
22.509090909090908,150.0,121.1,35.027272727272724,3.639717850128418,0.36666666666666664,0.7793288294903804,0.6528125,0,25.965186624024877,12,NN
25.48181818181818,60.0,55.55,38.0,3.4492445571596995,0.36666666666666664,0.4220705088703662,0.6528125,0,,12,BACKFILL
25.927272727272726,63.0,58.0,38.445454545454545,3.4168042641209673,0.36666666666666664,0.42674359301287773,0.6528125,0,,12,BACKFILL_EST
27.01818181818182,60.0,58.55,39.53636363636364,3.5479767952674655,0.36666666666666664,0.38349443288878005,0.6528125,0,,12,CONS_BF
25.62727272727273,61.0,56.55,38.14545454545455,3.485930947785367,0.36666666666666664,0.43631526331065174,0.6528125,0,12.99345350777307,12,PROACTIVE_BF
19.363636363636363,161.0,82.0,31.881818181818183,2.1011446830603178,0.36666666666666664,0.7541101152368759,0.6720833333333334,48,,12,SRPT
12.954545454545455,42.0,36.0,25.2,2.2545765953797896,0.36666666666666664,0.5094545454545455,0.5971875,0,,13,FIFO
20.772727272727273,49.0,39.55,33.018181818181816,3.050394431498076,0.36666666666666664,0.3769285856375572,0.5971875,0,,13,FIFO_STRICT
8.818181818181818,136.0,56.799999999999955,21.063636363636363,1.5897872944752343,0.36666666666666664,0.797319587628866,0.5971875,0,,13,SJF
8.881818181818181,126.0,56.499999999999915,21.12727272727273,1.628531757356694,0.36666666666666664,0.8038429329115101,0.5971875,0,,13,SJF_EST
13.136363636363637,112.0,65.64999999999999,25.381818181818183,2.3909037737679024,0.36666666666666664,0.7421767851525637,0.5971875,0,,13,PRIORITY
12.054545454545455,67.0,33.55,24.3,2.029840797083268,0.36666666666666664,0.5241738653503359,0.5971875,0,,13,HRRN
11.045454545454545,107.0,72.1,23.29090909090909,2.08075293084968,0.36666666666666664,0.8121885521885522,0.5971875,0,,13,SMALLEST
11.045454545454545,107.0,72.1,23.29090909090909,2.079843839940589,0.36666666666666664,0.811589973812196,0.5971875,0,12.22105323069475,13,PROACTIVE
11.045454545454545,107.0,72.1,23.29090909090909,2.08075293084968,0.36666666666666664,0.8121885521885522,0.5971875,0,12.207599789766446,13,NN
15.309090909090909,39.0,33.55,27.554545454545455,2.4854633127216155,0.36666666666666664,0.43179658820988986,0.5971875,0,,13,BACKFILL
15.10909090909091,44.0,35.0,27.354545454545455,2.4543708590327644,0.36666666666666664,0.48284651569850123,0.5971875,0,,13,BACKFILL_EST
17.363636363636363,40.0,33.55,29.60909090909091,2.704199516748067,0.36666666666666664,0.37262256068538796,0.5971875,0,,13,CONS_BF
15.181818181818182,42.0,34.0,27.427272727272726,2.4779232760234726,0.36666666666666664,0.4641371801850843,0.5971875,0,7.687385528636249,13,PROACTIVE_BF
10.60909090909091,137.0,80.64999999999999,22.854545454545455,1.611366142769886,0.36666666666666664,0.8354054685674223,0.6085416666666666,30,,13,SRPT
27.6,65.0,58.0,40.845454545454544,3.482524801558013,0.36666666666666664,0.38412384716732545,0.7073958333333333,0,,14,FIFO
40.89090909090909,77.0,66.0,54.13636363636363,4.661615321656483,0.36666666666666664,0.26825255669186304,0.7073958333333333,0,,14,FIFO_STRICT
18.2,150.0,115.29999999999998,31.445454545454545,2.0851527505861873,0.36666666666666664,0.7884842430296976,0.7073958333333333,0,,14,SJF
19.654545454545456,186.0,114.94999999999997,32.9,2.285309521411759,0.36666666666666664,0.787923639727525,0.7073958333333333,0,,14,SJF_EST
26.163636363636364,171.0,113.1,39.40909090909091,3.6529190889949406,0.36666666666666664,0.7361993808831891,0.7073958333333333,0,,14,PRIORITY
24.28181818181818,71.0,62.099999999999994,37.527272727272724,2.9006789317259343,0.36666666666666664,0.4579251897484769,0.7073958333333333,0,,14,HRRN
25.572727272727274,193.0,122.0,38.81818181818182,3.566278684531217,0.36666666666666664,0.7917558090682868,0.7073958333333333,0,,14,SMALLEST
24.89090909090909,157.0,131.0,38.13636363636363,3.4409974705689597,0.36666666666666664,0.7802244504947208,0.7073958333333333,0,29.66686338132078,14,PROACTIVE
